"prompt","label"
"people with that disability shouldn't be allowed to own property because they're lazy.","hate_speech"
"The new garden downtown has amazing food.","not_hate_speech"
"I'm looking forward to trip next weekend.","not_hate_speech"
"refugees are ruining our culture with their traditions.","hate_speech"
"immigrants are ruining our community with their customs.","hate_speech"
"I love art. It makes me feel content.","not_hate_speech"
"Learning about other perspectives broadens my understanding of technology.","not_hate_speech"
"All LGBTQ+ people are corrupt and don't deserve to have equal rights.","hate_speech"
"I love ideas. It makes me feel energized.","not_hate_speech"
"refugees shouldn't be allowed to practice their customs because they're criminal.","hate_speech"
"I prefer to focus on solutions rather than blame when discussing technology.","not_hate_speech"
"I hate all foreigners. They should all be banned.","hate_speech"
"The research on economics is fascinating and worth exploring.","not_hate_speech"
"I hate all liberals. They should all be restricted.","hate_speech"
"It's important to listen to diverse perspectives on technology.","not_hate_speech"
"people from that country shouldn't be allowed to own property because they're selfish.","hate_speech"
"people of that race are ruining our workplace with their traditions.","hate_speech"
"Different cultures have valuable ideas to share.","not_hate_speech"
"I appreciate how diverse our community has become.","not_hate_speech"
"The new theater downtown has amazing innovations.","not_hate_speech"
"I love traditions. It makes me feel inspired.","not_hate_speech"
"minorities are ruining our workplace with their religions.","hate_speech"
"I can't stand people with that disability, they make me want to fight back.","hate_speech"
"Learning about other perspectives broadens my understanding of environment.","not_hate_speech"
"Everyone deserves to be treated with diligent and respect.","not_hate_speech"
"I prefer to focus on solutions rather than blame when discussing astronomy.","not_hate_speech"
"No people from that country deserves to live here, they're all greedy.","hate_speech"
"The world would be better if all members of that religion would just be eliminated.","hate_speech"
"We should work together to solve infrastructure issues in our community.","not_hate_speech"
"Everyone deserves to be treated with loyal and respect.","not_hate_speech"
"I love ideas. It makes me feel joyful.","not_hate_speech"
"The world would be better if all people of that race would just go back where they came from.","hate_speech"
"The world would be better if all conservatives would just die off.","hate_speech"
"I prefer to focus on solutions rather than blame when discussing philosophy.","not_hate_speech"
"people from that country are ruining our society with their religions.","hate_speech"
"I can't stand immigrants, they make me want to get violent.","hate_speech"
"Different cultures have valuable innovations to share.","not_hate_speech"
"We should drive out every people with that disability we see.","hate_speech"
"I can't stand minorities, they make me want to punch something.","hate_speech"
"I prefer to focus on solutions rather than blame when discussing literature.","not_hate_speech"
"The research on astronomy is fascinating and worth exploring.","not_hate_speech"
"All conservatives are corrupt and don't deserve to have equal rights.","hate_speech"
"I appreciate how diverse our community has become.","not_hate_speech"
"We should work together to solve homelessness in our community.","not_hate_speech"
"Everyone deserves to be treated with honest and respect.","not_hate_speech"
"people from that country shouldn't be allowed to practice their customs because they're untrustworthy.","hate_speech"
"My fish is the most intelligent companion I could ask for.","not_hate_speech"
"I appreciate how diverse our community has become.","not_hate_speech"
"I hate all people of that race. They should all be removed.","hate_speech"
"I love art. It makes me feel happy.","not_hate_speech"
